Country Athlete Rating
Canada	Kevin Durant	1.11014285714
Canada	Kyrie Irving	1.75
Canada	LeBron James	1.44
Canada	Mohamed Salah	1.45833333333
Canada	Neymar	1.0
Canada	Novak Djokovic	1.11666666667
Canada	Rafael Nadal	1.16203703704
Canada	Roger Federer	1.17073002755
Canada	Ronda Rousey	1.17222222222
Canada	Russell Westbrook	1.05
Canada	Ryan Lochte	1.2
Canada	Serena Williams	1.17777777778
Canada	Theo Walcott	1.5
Canada	Tiger Woods	1.25
Canada	Tom Brady	1.06428571429
Canada	Virat Kohli	1.0
Canada	Wayne Rooney	1.08519713262
Canada	Zlatan Ibrahimovic	1.275
Cayman Islands	Conor McGregor	1.075
Central African Republic	Simone Biles	1.8
Chile	Conor McGregor	0.957142857143
Chile	Wayne Rooney	1.08333333333
Colombia	Conor McGregor	0.95625
Colombia	Kevin Durant	0.6
Colombia	Lewis Hamilton	1.1
Colombia	Tom Brady	1.0
Colombia	Wayne Rooney	0.945454545455
Congo	Conor McGregor	0.8
Costa Rica	Conor McGregor	1.0
Costa Rica	Lewis Hamilton	1.0
Costa Rica	Wayne Rooney	1.0
Cyprus	Conor McGregor	1.0
Cyprus	Dani Alves	1.0
Cyprus	Neymar	1.0
Cyprus	Roger Federer	0.7
Cyprus	Wayne Rooney	1.06666666667
Czech Republic	Conor McGregor	1.0
Czech Republic	Novak Djokovic	1.0
Danmark	Conor McGregor	1.0
Denmark	Conor McGregor	0.925
Denmark	Dani Alves	0.6
Denmark	Serena Williams	1.7
Deutschland	Andy Murray	1.2
Deutschland	Conor McGregor	1.39285714286
Deutschland	James Harden	0.65
Deutschland	Rafael Nadal	1.1
Deutschland	Wayne Rooney	0.195
Djibouti	Roger Federer	1.0
Dominican Republic	Aaron Rodgers	1.0
Dominican Republic	Chris Paul	1.0
Dominican Republic	Conor McGregor	1.325
Dominican Republic	James Harden	1.0
Dominican Republic	Kevin Durant	1.0
Dominican Republic	Roger Federer	1.35
Ecuador	Conor McGregor	1.0
Ecuador	Manny Pacquiao	1.0
Ecuador	Wayne Rooney	1.0
Egypt	Aaron Rodgers	1.0
Egypt	Andy Murray	1.1625
Egypt	Carmelo Anthony	0.4
Egypt	Conor McGregor	1.125
Egypt	Gareth Bale	1.0
Egypt	James Harden	1.0
Egypt	LeBron James	1.65
Egypt	Rafael Nadal	1.0
Egypt	Roger Federer	0.65
Egypt	Serena Williams	1.1
Egypt	Theo Walcott	0.285714285714
Egypt	Wayne Rooney	1.0
Eire	Conor McGregor	1.0
Espagne	Chris Paul	1.5
Espainia	Conor McGregor	1.1
Espana	Andy Murray	1.0
Espana	Conor McGregor	0.978571428571
Espana	Cristiano Ronaldo	1.0
Espana	Gareth Bale	1.0
Espana	Neymar	0.666666666667
Espana	Roger Federer	1.35833333333
Espana	Tiger Woods	0.928571428571
Espana	Wayne Rooney	1.1
Espanha	Conor McGregor	1.0
Espanya	Andy Murray	0.5
Estados Unidos	Aaron Rodgers	1.25
Estados Unidos	Chris Paul	0.9
Estados Unidos	Conor McGregor	1.17142857143
Estados Unidos	James Harden	1.0
Estados Unidos	Kevin Durant	1.03571428571
Estados Unidos	Neymar	1.3
Estados Unidos	Novak Djokovic	1.225
Estados Unidos	Rafael Nadal	1.15
Estados Unidos	Roger Federer	1.0
Estados Unidos	Russell Westbrook	1.04166666667
Estados Unidos	Serena Williams	0.95
Estados Unidos	Simone Biles	1.5
Estados Unidos	Wayne Rooney	1.02205882353
Finland	Andy Murray	1.0
Finland	Conor McGregor	1.25
Finland	Wayne Rooney	1.66666666667
France	Andy Murray	1.22222222222
France	Cam Newton	2.0
France	Chris Paul	1.0
France	Conor McGregor	1.01543062201
France	Dani Alves	1.0
France	David Luiz	1.0
France	Drew Brees	1.0
France	Dwight Howard	1.25
France	J.J. Watt	2.0
France	James Harden	1.0
France	LeBron James	1.8
France	Lewis Hamilton	1.0
France	Neymar	1.0
France	Phil Mickelson	0.666666666667
France	Rafael Nadal	1.55
France	Roger Federer	1.10416666667
France	Russell Westbrook	2.0
France	Virat Kohli	1.0
France	Wayne Rooney	1.15599173554
Francia	Dani Alves	1.0
Francia	Wayne Rooney	1.2
Gambia	Neymar	1.25
Gambia	Wayne Rooney	1.7
Georgia	Kevin Durant	1.0
Georgia	Tom Brady	1.1
Germany	Andy Murray	0.5
Germany	Conor McGregor	0.93125
Germany	Cristiano Ronaldo	1.0
Germany	Dani Alves	0.3
Germany	Dwight Howard	1.0
Germany	James Harden	0.7375
Germany	Kevin Durant	1.35555555556
Germany	LeBron James	1.0
Germany	Roger Federer	1.625
Germany	Russell Wilson	1.0
Germany	Serena Williams	1.41666666667
Germany	Tom Brady	1.30833333333
Germany	Wayne Rooney	1.02777777778
Ghana	Aaron Rodgers	1.0
Ghana	Andy Murray	1.0
Ghana	Cam Newton	1.23333333333
Ghana	Carmelo Anthony	1.00833333333
Ghana	Caroline Wozniacki	1.625
Ghana	Chris Paul	0.8
Ghana	Conor McGregor	1.06581632653
Ghana	Cristiano Ronaldo	1.0
Ghana	Dani Alves	1.11836734694
Ghana	David Luiz	1.0
Ghana	Eden Hazard	0.975
Ghana	Felipe Massa	1.0
Ghana	James Harden	0.733333333333
Ghana	Kaká	1.8
Ghana	Kevin Durant	1.0
Ghana	Lewis Hamilton	1.0
Ghana	Neymar	0.67
Ghana	Novak Djokovic	1.0
Ghana	Odell Beckham Jr.	1.7
Ghana	Paul Pogba	1.0
Ghana	Rafael Nadal	1.16666666667
Ghana	Roger Federer	1.10833333333
Ghana	Serena Williams	1.0
Ghana	Tom Brady	1.1125
Ghana	Wayne Rooney	1.15
Ghana	Zlatan Ibrahimovic	1.0
Gibraltar	Conor McGregor	1.25
